1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9300000050F99C21
Is Mission Active?  true
Mission Start:  Thu Jun 06 14:01:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1676
Total Samples:  2994
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
06/06/19 2:01:00 PM,C,21.5
06/06/19 3:01:00 PM,C,20
06/06/19 4:01:00 PM,C,17.5
06/06/19 5:01:00 PM,C,16.5
06/06/19 6:01:00 PM,C,17.5
06/06/19 7:01:00 PM,C,12
06/06/19 8:01:00 PM,C,11
06/06/19 9:01:00 PM,C,11
06/06/19 10:01:00 PM,C,10.5
06/06/19 11:01:00 PM,C,10.5
07/06/19 12:01:00 AM,C,10.5
07/06/19 1:01:00 AM,C,11
07/06/19 2:01:00 AM,C,10.5
07/06/19 3:01:00 AM,C,10.5
07/06/19 4:01:00 AM,C,10.5
07/06/19 5:01:00 AM,C,11
07/06/19 6:01:00 AM,C,11
07/06/19 7:01:00 AM,C,11
07/06/19 8:01:00 AM,C,11
07/06/19 9:01:00 AM,C,11.5
07/06/19 10:01:00 AM,C,15.5
07/06/19 11:01:00 AM,C,18.5
07/06/19 12:01:00 PM,C,24.5
07/06/19 1:01:00 PM,C,22
07/06/19 2:01:00 PM,C,24
07/06/19 3:01:00 PM,C,27
07/06/19 4:01:00 PM,C,25
07/06/19 5:01:00 PM,C,20
07/06/19 6:01:00 PM,C,17
07/06/19 7:01:00 PM,C,13.5
07/06/19 8:01:00 PM,C,11
07/06/19 9:01:00 PM,C,10.5
07/06/19 10:01:00 PM,C,11
07/06/19 11:01:00 PM,C,10.5
08/06/19 12:01:00 AM,C,10.5
08/06/19 1:01:00 AM,C,10.5
08/06/19 2:01:00 AM,C,10.5
08/06/19 3:01:00 AM,C,10.5
08/06/19 4:01:00 AM,C,10.5
08/06/19 5:01:00 AM,C,11
08/06/19 6:01:00 AM,C,11
08/06/19 7:01:00 AM,C,11
08/06/19 8:01:00 AM,C,11.5
08/06/19 9:01:00 AM,C,11.5
08/06/19 10:01:00 AM,C,14.5
08/06/19 11:01:00 AM,C,27
08/06/19 12:01:00 PM,C,31.5
08/06/19 1:01:00 PM,C,33.5
08/06/19 2:01:00 PM,C,33.5
08/06/19 3:01:00 PM,C,31.5
08/06/19 4:01:00 PM,C,29.5
08/06/19 5:01:00 PM,C,25
08/06/19 6:01:00 PM,C,20.5
08/06/19 7:01:00 PM,C,15.5
08/06/19 8:01:00 PM,C,12.5
08/06/19 9:01:00 PM,C,12
08/06/19 10:01:00 PM,C,11.5
