1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E100000050EBD721
Is Mission Active?  true
Mission Start:  Thu Jun 06 14:00:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1675
Total Samples:  2993
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
06/06/19 2:00:00 PM,C,21
06/06/19 3:00:00 PM,C,16.5
06/06/19 4:00:00 PM,C,17
06/06/19 5:00:00 PM,C,16.5
06/06/19 6:00:00 PM,C,18
06/06/19 7:00:00 PM,C,12
06/06/19 8:00:00 PM,C,11.5
06/06/19 9:00:00 PM,C,11
06/06/19 10:00:00 PM,C,11
06/06/19 11:00:00 PM,C,11
07/06/19 12:00:00 AM,C,11
07/06/19 1:00:00 AM,C,11
07/06/19 2:00:00 AM,C,11
07/06/19 3:00:00 AM,C,11
07/06/19 4:00:00 AM,C,11
07/06/19 5:00:00 AM,C,11.5
07/06/19 6:00:00 AM,C,11.5
07/06/19 7:00:00 AM,C,11
07/06/19 8:00:00 AM,C,11.5
07/06/19 9:00:00 AM,C,11.5
07/06/19 10:00:00 AM,C,14
07/06/19 11:00:00 AM,C,17
07/06/19 12:00:00 PM,C,19.5
07/06/19 1:00:00 PM,C,19
07/06/19 2:00:00 PM,C,20.5
07/06/19 3:00:00 PM,C,22.5
07/06/19 4:00:00 PM,C,21
07/06/19 5:00:00 PM,C,19
07/06/19 6:00:00 PM,C,17.5
07/06/19 7:00:00 PM,C,14.5
07/06/19 8:00:00 PM,C,11.5
07/06/19 9:00:00 PM,C,11
07/06/19 10:00:00 PM,C,11
07/06/19 11:00:00 PM,C,11
08/06/19 12:00:00 AM,C,11
08/06/19 1:00:00 AM,C,11
08/06/19 2:00:00 AM,C,11
08/06/19 3:00:00 AM,C,11
08/06/19 4:00:00 AM,C,11
08/06/19 5:00:00 AM,C,11.5
08/06/19 6:00:00 AM,C,11.5
08/06/19 7:00:00 AM,C,11.5
08/06/19 8:00:00 AM,C,11.5
08/06/19 9:00:00 AM,C,11.5
08/06/19 10:00:00 AM,C,14
08/06/19 11:00:00 AM,C,23.5
08/06/19 12:00:00 PM,C,25
08/06/19 1:00:00 PM,C,27
08/06/19 2:00:00 PM,C,27.5
08/06/19 3:00:00 PM,C,26.5
08/06/19 4:00:00 PM,C,25
08/06/19 5:00:00 PM,C,23
08/06/19 6:00:00 PM,C,20.5
08/06/19 7:00:00 PM,C,15.5
08/06/19 8:00:00 PM,C,14.5
08/06/19 9:00:00 PM,C,12
08/06/19 10:00:00 PM,C,12
08/06/19 11:00:00 PM,C,11.5
09/06/19 12:00:00 AM,C,11.5
09/06/19 1:00:00 AM,C,11.5
09/06/19 2:00:00 AM,C,11
09/06/19 3:00:00 AM,C,11
09/06/19 4:00:00 AM,C,9.5
09/06/19 5:00:00 AM,C,9
09/06/19 6:00:00 AM,C,10.5
09/06/19 7:00:00 AM,C,14.5
09/06/19 8:00:00 AM,C,12
09/06/19 9:00:00 AM,C,13.5
09/06/19 10:00:00 AM,C,14.5
09/06/19 11:00:00 AM,C,17.5
09/06/19 12:00:00 PM,C,23
09/06/19 1:00:00 PM,C,25
09/06/19 2:00:00 PM,C,25
09/06/19 3:00:00 PM,C,21
09/06/19 4:00:00 PM,C,21
09/06/19 5:00:00 PM,C,22.5
09/06/19 6:00:00 PM,C,21
09/06/19 7:00:00 PM,C,18
09/06/19 8:00:00 PM,C,17
09/06/19 9:00:00 PM,C,14
09/06/19 10:00:00 PM,C,12
09/06/19 11:00:00 PM,C,11.5
10/06/19 12:00:00 AM,C,11.5
10/06/19 1:00:00 AM,C,11.5
10/06/19 2:00:00 AM,C,11
10/06/19 3:00:00 AM,C,11
10/06/19 4:00:00 AM,C,11
10/06/19 5:00:00 AM,C,10.5
10/06/19 6:00:00 AM,C,11
10/06/19 7:00:00 AM,C,12.5
10/06/19 8:00:00 AM,C,14
10/06/19 9:00:00 AM,C,14
10/06/19 10:00:00 AM,C,18
10/06/19 11:00:00 AM,C,25.5
10/06/19 12:00:00 PM,C,28
10/06/19 1:00:00 PM,C,28
10/06/19 2:00:00 PM,C,28.5
10/06/19 3:00:00 PM,C,27.5
10/06/19 4:00:00 PM,C,28
10/06/19 5:00:00 PM,C,26.5
10/06/19 6:00:00 PM,C,23.5
10/06/19 7:00:00 PM,C,19
10/06/19 8:00:00 PM,C,17.5
10/06/19 9:00:00 PM,C,16
10/06/19 10:00:00 PM,C,12.5
10/06/19 11:00:00 PM,C,12
11/06/19 12:00:00 AM,C,12
11/06/19 1:00:00 AM,C,12
11/06/19 2:00:00 AM,C,11.5
11/06/19 3:00:00 AM,C,11.5
11/06/19 4:00:00 AM,C,11
11/06/19 5:00:00 AM,C,11
11/06/19 6:00:00 AM,C,13
11/06/19 7:00:00 AM,C,17
11/06/19 8:00:00 AM,C,21
11/06/19 9:00:00 AM,C,24
11/06/19 10:00:00 AM,C,27.5
11/06/19 11:00:00 AM,C,28
11/06/19 12:00:00 PM,C,30.5
11/06/19 1:00:00 PM,C,28
11/06/19 2:00:00 PM,C,30
11/06/19 3:00:00 PM,C,29
11/06/19 4:00:00 PM,C,29.5
11/06/19 5:00:00 PM,C,28.5
11/06/19 6:00:00 PM,C,26
11/06/19 7:00:00 PM,C,22.5
11/06/19 8:00:00 PM,C,20
11/06/19 9:00:00 PM,C,18
11/06/19 10:00:00 PM,C,12.5
11/06/19 11:00:00 PM,C,12.5
12/06/19 12:00:00 AM,C,12.5
12/06/19 1:00:00 AM,C,12.5
12/06/19 2:00:00 AM,C,12
12/06/19 3:00:00 AM,C,12
12/06/19 4:00:00 AM,C,12
12/06/19 5:00:00 AM,C,12
12/06/19 6:00:00 AM,C,13.5
12/06/19 7:00:00 AM,C,18
12/06/19 8:00:00 AM,C,23
12/06/19 9:00:00 AM,C,26.5
12/06/19 10:00:00 AM,C,29
12/06/19 11:00:00 AM,C,29.5
12/06/19 12:00:00 PM,C,33
12/06/19 1:00:00 PM,C,15
12/06/19 2:00:00 PM,C,14
12/06/19 3:00:00 PM,C,14
12/06/19 4:00:00 PM,C,13
12/06/19 5:00:00 PM,C,18
12/06/19 6:00:00 PM,C,18
12/06/19 7:00:00 PM,C,17
12/06/19 8:00:00 PM,C,18
12/06/19 9:00:00 PM,C,16
12/06/19 10:00:00 PM,C,13
12/06/19 11:00:00 PM,C,13
13/06/19 12:00:00 AM,C,13
13/06/19 1:00:00 AM,C,12.5
