1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 890000005110E321
Is Mission Active?  true
Mission Start:  Thu Jun 04 11:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1827
Total Samples:  11850
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
04/06/20 11:01:00 AM,C,29
04/06/20 12:01:00 PM,C,27
04/06/20 1:01:00 PM,C,25
04/06/20 2:01:00 PM,C,26.5
04/06/20 3:01:00 PM,C,12
04/06/20 4:01:00 PM,C,10.5
04/06/20 5:01:00 PM,C,11
04/06/20 6:01:00 PM,C,11.5
04/06/20 7:01:00 PM,C,11
04/06/20 8:01:00 PM,C,11
04/06/20 9:01:00 PM,C,10.5
04/06/20 10:01:00 PM,C,11
04/06/20 11:01:00 PM,C,11
05/06/20 12:01:00 AM,C,11.5
05/06/20 1:01:00 AM,C,11.5
05/06/20 2:01:00 AM,C,11.5
05/06/20 3:01:00 AM,C,11.5
05/06/20 4:01:00 AM,C,11.5
05/06/20 5:01:00 AM,C,11
05/06/20 6:01:00 AM,C,11
05/06/20 7:01:00 AM,C,11
05/06/20 8:01:00 AM,C,15
05/06/20 9:01:00 AM,C,17
05/06/20 10:01:00 AM,C,19
05/06/20 11:01:00 AM,C,23.5
05/06/20 12:01:00 PM,C,25.5
05/06/20 1:01:00 PM,C,32.5
05/06/20 2:01:00 PM,C,31.5
05/06/20 3:01:00 PM,C,29
05/06/20 4:01:00 PM,C,12
05/06/20 5:01:00 PM,C,12
05/06/20 6:01:00 PM,C,11.5
05/06/20 7:01:00 PM,C,11
05/06/20 8:01:00 PM,C,11
05/06/20 9:01:00 PM,C,11
05/06/20 10:01:00 PM,C,10.5
05/06/20 11:01:00 PM,C,11
06/06/20 12:01:00 AM,C,11
06/06/20 1:01:00 AM,C,11.5
06/06/20 2:01:00 AM,C,11.5
06/06/20 3:01:00 AM,C,11.5
06/06/20 4:01:00 AM,C,11.5
06/06/20 5:01:00 AM,C,11.5
06/06/20 6:01:00 AM,C,11
06/06/20 7:01:00 AM,C,11
06/06/20 8:01:00 AM,C,17
06/06/20 9:01:00 AM,C,22
06/06/20 10:01:00 AM,C,25.5
06/06/20 11:01:00 AM,C,19.5
06/06/20 12:01:00 PM,C,30
06/06/20 1:01:00 PM,C,32
06/06/20 2:01:00 PM,C,33
06/06/20 3:01:00 PM,C,21.5
06/06/20 4:01:00 PM,C,23.5
06/06/20 5:01:00 PM,C,12
06/06/20 6:01:00 PM,C,11.5
06/06/20 7:01:00 PM,C,11.5
06/06/20 8:01:00 PM,C,11
06/06/20 9:01:00 PM,C,11
06/06/20 10:01:00 PM,C,11
06/06/20 11:01:00 PM,C,10.5
07/06/20 12:01:00 AM,C,11
07/06/20 1:01:00 AM,C,11
07/06/20 2:01:00 AM,C,11
07/06/20 3:01:00 AM,C,11
07/06/20 4:01:00 AM,C,11
07/06/20 5:01:00 AM,C,11
07/06/20 6:01:00 AM,C,11
07/06/20 7:01:00 AM,C,11
07/06/20 8:01:00 AM,C,11
07/06/20 9:01:00 AM,C,23
07/06/20 10:01:00 AM,C,29.5
07/06/20 11:01:00 AM,C,33
07/06/20 12:01:00 PM,C,36
07/06/20 1:01:00 PM,C,36.5
07/06/20 2:01:00 PM,C,33
07/06/20 3:01:00 PM,C,30.5
07/06/20 4:01:00 PM,C,27
07/06/20 5:01:00 PM,C,18
07/06/20 6:01:00 PM,C,12
07/06/20 7:01:00 PM,C,12
07/06/20 8:01:00 PM,C,11.5
07/06/20 9:01:00 PM,C,11
07/06/20 10:01:00 PM,C,11
07/06/20 11:01:00 PM,C,11
08/06/20 12:01:00 AM,C,11
08/06/20 1:01:00 AM,C,11
08/06/20 2:01:00 AM,C,11
08/06/20 3:01:00 AM,C,11
08/06/20 4:01:00 AM,C,11
08/06/20 5:01:00 AM,C,11
08/06/20 6:01:00 AM,C,11
08/06/20 7:01:00 AM,C,11
08/06/20 8:01:00 AM,C,11
08/06/20 9:01:00 AM,C,13
08/06/20 10:01:00 AM,C,22.5
08/06/20 11:01:00 AM,C,31.5
08/06/20 12:01:00 PM,C,25
08/06/20 1:01:00 PM,C,29.5
08/06/20 2:01:00 PM,C,25.5
08/06/20 3:01:00 PM,C,23.5
08/06/20 4:01:00 PM,C,24
08/06/20 5:01:00 PM,C,20.5
08/06/20 6:01:00 PM,C,12
08/06/20 7:01:00 PM,C,11.5
08/06/20 8:01:00 PM,C,11.5
08/06/20 9:01:00 PM,C,11.5
08/06/20 10:01:00 PM,C,11
08/06/20 11:01:00 PM,C,11
09/06/20 12:01:00 AM,C,11
09/06/20 1:01:00 AM,C,11
09/06/20 2:01:00 AM,C,11.5
09/06/20 3:01:00 AM,C,11.5
09/06/20 4:01:00 AM,C,11.5
09/06/20 5:01:00 AM,C,11.5
09/06/20 6:01:00 AM,C,11.5
09/06/20 7:01:00 AM,C,11.5
09/06/20 8:01:00 AM,C,11.5
09/06/20 9:01:00 AM,C,11.5
09/06/20 10:01:00 AM,C,11.5
09/06/20 11:01:00 AM,C,12.5
09/06/20 12:01:00 PM,C,14
09/06/20 1:01:00 PM,C,14.5
09/06/20 2:01:00 PM,C,17
09/06/20 3:01:00 PM,C,18
09/06/20 4:01:00 PM,C,16
09/06/20 5:01:00 PM,C,16.5
09/06/20 6:01:00 PM,C,15
09/06/20 7:01:00 PM,C,11.5
09/06/20 8:01:00 PM,C,11
09/06/20 9:01:00 PM,C,11.5
09/06/20 10:01:00 PM,C,10.5
09/06/20 11:01:00 PM,C,11
10/06/20 12:01:00 AM,C,11
10/06/20 1:01:00 AM,C,11
10/06/20 2:01:00 AM,C,11
10/06/20 3:01:00 AM,C,11
10/06/20 4:01:00 AM,C,11
10/06/20 5:01:00 AM,C,11
10/06/20 6:01:00 AM,C,11
10/06/20 7:01:00 AM,C,11
10/06/20 8:01:00 AM,C,11
10/06/20 9:01:00 AM,C,11.5
10/06/20 10:01:00 AM,C,12
10/06/20 11:01:00 AM,C,23
10/06/20 12:01:00 PM,C,35
10/06/20 1:01:00 PM,C,34
10/06/20 2:01:00 PM,C,33
10/06/20 3:01:00 PM,C,28
10/06/20 4:01:00 PM,C,29
10/06/20 5:01:00 PM,C,26.5
10/06/20 6:01:00 PM,C,24
10/06/20 7:01:00 PM,C,18.5
10/06/20 8:01:00 PM,C,11.5
10/06/20 9:01:00 PM,C,12
10/06/20 10:01:00 PM,C,11.5
10/06/20 11:01:00 PM,C,11
11/06/20 12:01:00 AM,C,11
11/06/20 1:01:00 AM,C,11
11/06/20 2:01:00 AM,C,11
11/06/20 3:01:00 AM,C,11
11/06/20 4:01:00 AM,C,11.5
11/06/20 5:01:00 AM,C,11.5
11/06/20 6:01:00 AM,C,11.5
11/06/20 7:01:00 AM,C,11.5
11/06/20 8:01:00 AM,C,11
11/06/20 9:01:00 AM,C,11.5
11/06/20 10:01:00 AM,C,11.5
11/06/20 11:01:00 AM,C,18
11/06/20 12:01:00 PM,C,17.5
11/06/20 1:01:00 PM,C,29.5
11/06/20 2:01:00 PM,C,30
11/06/20 3:01:00 PM,C,29
11/06/20 4:01:00 PM,C,24.5
11/06/20 5:01:00 PM,C,22
11/06/20 6:01:00 PM,C,18.5
11/06/20 7:01:00 PM,C,14.5
11/06/20 8:01:00 PM,C,12
11/06/20 9:01:00 PM,C,12
11/06/20 10:01:00 PM,C,12
11/06/20 11:01:00 PM,C,11.5
12/06/20 12:01:00 AM,C,11
12/06/20 1:01:00 AM,C,11
12/06/20 2:01:00 AM,C,11.5
12/06/20 3:01:00 AM,C,11.5
12/06/20 4:01:00 AM,C,11.5
12/06/20 5:01:00 AM,C,11.5
12/06/20 6:01:00 AM,C,11.5
12/06/20 7:01:00 AM,C,11
12/06/20 8:01:00 AM,C,11
12/06/20 9:01:00 AM,C,11
12/06/20 10:01:00 AM,C,11
12/06/20 11:01:00 AM,C,11.5
12/06/20 12:01:00 PM,C,12.5
12/06/20 1:01:00 PM,C,16
12/06/20 2:01:00 PM,C,23
