1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EF0000005108EC21
Is Mission Active?  true
Mission Start:  Thu Jun 04 15:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1819
Total Samples:  11840
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
04/06/20 3:01:00 PM,C,25.5
04/06/20 4:01:00 PM,C,12
04/06/20 5:01:00 PM,C,11.5
04/06/20 6:01:00 PM,C,11.5
04/06/20 7:01:00 PM,C,11.5
04/06/20 8:01:00 PM,C,11.5
04/06/20 9:01:00 PM,C,12
04/06/20 10:01:00 PM,C,11.5
04/06/20 11:01:00 PM,C,11.5
05/06/20 12:01:00 AM,C,12
05/06/20 1:01:00 AM,C,12
05/06/20 2:01:00 AM,C,12
05/06/20 3:01:00 AM,C,12
05/06/20 4:01:00 AM,C,12
05/06/20 5:01:00 AM,C,11.5
05/06/20 6:01:00 AM,C,11.5
05/06/20 7:01:00 AM,C,11.5
05/06/20 8:01:00 AM,C,16
05/06/20 9:01:00 AM,C,18
05/06/20 10:01:00 AM,C,19
05/06/20 11:01:00 AM,C,23.5
05/06/20 12:01:00 PM,C,25
05/06/20 1:01:00 PM,C,33
05/06/20 2:01:00 PM,C,31
05/06/20 3:01:00 PM,C,30
05/06/20 4:01:00 PM,C,23.5
05/06/20 5:01:00 PM,C,12.5
05/06/20 6:01:00 PM,C,12
05/06/20 7:01:00 PM,C,12
05/06/20 8:01:00 PM,C,11.5
05/06/20 9:01:00 PM,C,11.5
05/06/20 10:01:00 PM,C,11.5
05/06/20 11:01:00 PM,C,11.5
06/06/20 12:01:00 AM,C,11.5
06/06/20 1:01:00 AM,C,12
06/06/20 2:01:00 AM,C,12
06/06/20 3:01:00 AM,C,12
06/06/20 4:01:00 AM,C,12
06/06/20 5:01:00 AM,C,12
06/06/20 6:01:00 AM,C,12
06/06/20 7:01:00 AM,C,11.5
06/06/20 8:01:00 AM,C,18
06/06/20 9:01:00 AM,C,20.5
06/06/20 10:01:00 AM,C,24.5
06/06/20 11:01:00 AM,C,21.5
06/06/20 12:01:00 PM,C,27.5
06/06/20 1:01:00 PM,C,32.5
06/06/20 2:01:00 PM,C,33.5
06/06/20 3:01:00 PM,C,23.5
06/06/20 4:01:00 PM,C,26.5
06/06/20 5:01:00 PM,C,12.5
06/06/20 6:01:00 PM,C,12.5
06/06/20 7:01:00 PM,C,12
06/06/20 8:01:00 PM,C,12
06/06/20 9:01:00 PM,C,11.5
06/06/20 10:01:00 PM,C,11.5
06/06/20 11:01:00 PM,C,11
07/06/20 12:01:00 AM,C,11.5
07/06/20 1:01:00 AM,C,11.5
07/06/20 2:01:00 AM,C,12
07/06/20 3:01:00 AM,C,11.5
07/06/20 4:01:00 AM,C,11.5
07/06/20 5:01:00 AM,C,11.5
07/06/20 6:01:00 AM,C,11.5
07/06/20 7:01:00 AM,C,11.5
07/06/20 8:01:00 AM,C,15
07/06/20 9:01:00 AM,C,20.5
07/06/20 10:01:00 AM,C,27
07/06/20 11:01:00 AM,C,31.5
07/06/20 12:01:00 PM,C,32.5
07/06/20 1:01:00 PM,C,35.5
07/06/20 2:01:00 PM,C,34
07/06/20 3:01:00 PM,C,32
07/06/20 4:01:00 PM,C,29.5
07/06/20 5:01:00 PM,C,23.5
07/06/20 6:01:00 PM,C,12.5
07/06/20 7:01:00 PM,C,12.5
07/06/20 8:01:00 PM,C,12
07/06/20 9:01:00 PM,C,12
07/06/20 10:01:00 PM,C,11.5
07/06/20 11:01:00 PM,C,11.5
08/06/20 12:01:00 AM,C,11.5
08/06/20 1:01:00 AM,C,11.5
08/06/20 2:01:00 AM,C,11.5
08/06/20 3:01:00 AM,C,11.5
08/06/20 4:01:00 AM,C,11.5
08/06/20 5:01:00 AM,C,11.5
08/06/20 6:01:00 AM,C,11.5
08/06/20 7:01:00 AM,C,11.5
08/06/20 8:01:00 AM,C,11.5
08/06/20 9:01:00 AM,C,18
08/06/20 10:01:00 AM,C,26.5
08/06/20 11:01:00 AM,C,30
08/06/20 12:01:00 PM,C,28.5
08/06/20 1:01:00 PM,C,29
08/06/20 2:01:00 PM,C,27
08/06/20 3:01:00 PM,C,25
08/06/20 4:01:00 PM,C,25
08/06/20 5:01:00 PM,C,22.5
08/06/20 6:01:00 PM,C,20
08/06/20 7:01:00 PM,C,12.5
08/06/20 8:01:00 PM,C,12
08/06/20 9:01:00 PM,C,11.5
08/06/20 10:01:00 PM,C,11.5
08/06/20 11:01:00 PM,C,11.5
09/06/20 12:01:00 AM,C,11.5
09/06/20 1:01:00 AM,C,11.5
09/06/20 2:01:00 AM,C,11.5
09/06/20 3:01:00 AM,C,12
09/06/20 4:01:00 AM,C,12
09/06/20 5:01:00 AM,C,12
09/06/20 6:01:00 AM,C,12
09/06/20 7:01:00 AM,C,12
09/06/20 8:01:00 AM,C,12
09/06/20 9:01:00 AM,C,12
09/06/20 10:01:00 AM,C,12.5
09/06/20 11:01:00 AM,C,13.5
09/06/20 12:01:00 PM,C,14.5
09/06/20 1:01:00 PM,C,15.5
