1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B70000002E518621
Is Mission Active?  true
Mission Start:  Fri Apr 24 07:45:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2820
Total Samples:  796880
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
24/04/20 7:45:00 AM,C,9
24/04/20 8:45:00 AM,C,9.5
24/04/20 9:45:00 AM,C,12
24/04/20 10:45:00 AM,C,15
24/04/20 11:45:00 AM,C,16.5
24/04/20 12:45:00 PM,C,15.5
24/04/20 1:45:00 PM,C,16.5
24/04/20 2:45:00 PM,C,19
24/04/20 3:45:00 PM,C,20
24/04/20 4:45:00 PM,C,13
24/04/20 5:45:00 PM,C,9.5
24/04/20 6:45:00 PM,C,9.5
24/04/20 7:45:00 PM,C,9
24/04/20 8:45:00 PM,C,9
24/04/20 9:45:00 PM,C,9
24/04/20 10:45:00 PM,C,9
24/04/20 11:45:00 PM,C,9
25/04/20 12:45:00 AM,C,9
25/04/20 1:45:00 AM,C,9
25/04/20 2:45:00 AM,C,9
25/04/20 3:45:00 AM,C,9
25/04/20 4:45:00 AM,C,9
25/04/20 5:45:00 AM,C,9
25/04/20 6:45:00 AM,C,9
25/04/20 7:45:00 AM,C,9
25/04/20 8:45:00 AM,C,9
25/04/20 9:45:00 AM,C,10
25/04/20 10:45:00 AM,C,18.5
25/04/20 11:45:00 AM,C,21.5
25/04/20 12:45:00 PM,C,26
25/04/20 1:45:00 PM,C,25.5
25/04/20 2:45:00 PM,C,25
25/04/20 3:45:00 PM,C,21
25/04/20 4:45:00 PM,C,11.5
25/04/20 5:45:00 PM,C,10
25/04/20 6:45:00 PM,C,9.5
25/04/20 7:45:00 PM,C,9
25/04/20 8:45:00 PM,C,9
25/04/20 9:45:00 PM,C,9
25/04/20 10:45:00 PM,C,9
25/04/20 11:45:00 PM,C,9
26/04/20 12:45:00 AM,C,9
26/04/20 1:45:00 AM,C,9
26/04/20 2:45:00 AM,C,9
26/04/20 3:45:00 AM,C,9
26/04/20 4:45:00 AM,C,9
26/04/20 5:45:00 AM,C,9
26/04/20 6:45:00 AM,C,9
26/04/20 7:45:00 AM,C,9
26/04/20 8:45:00 AM,C,9
26/04/20 9:45:00 AM,C,11.5
26/04/20 10:45:00 AM,C,17
26/04/20 11:45:00 AM,C,19.5
26/04/20 12:45:00 PM,C,24.5
26/04/20 1:45:00 PM,C,22.5
26/04/20 2:45:00 PM,C,24.5
26/04/20 3:45:00 PM,C,20.5
26/04/20 4:45:00 PM,C,21.5
26/04/20 5:45:00 PM,C,17.5
26/04/20 6:45:00 PM,C,10
26/04/20 7:45:00 PM,C,9.5
26/04/20 8:45:00 PM,C,9.5
