1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3300000051202B21
Is Mission Active?  true
Mission Start:  Fri Jun 05 09:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1800
Total Samples:  9579
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/06/20 9:01:00 AM,C,16
05/06/20 10:01:00 AM,C,17.5
05/06/20 11:01:00 AM,C,20.5
05/06/20 12:01:00 PM,C,22.5
05/06/20 1:01:00 PM,C,29
05/06/20 2:01:00 PM,C,27.5
05/06/20 3:01:00 PM,C,29
05/06/20 4:01:00 PM,C,17
05/06/20 5:01:00 PM,C,12
05/06/20 6:01:00 PM,C,12
05/06/20 7:01:00 PM,C,11.5
05/06/20 8:01:00 PM,C,11.5
05/06/20 9:01:00 PM,C,11.5
05/06/20 10:01:00 PM,C,11
05/06/20 11:01:00 PM,C,11
06/06/20 12:01:00 AM,C,11
06/06/20 1:01:00 AM,C,11.5
06/06/20 2:01:00 AM,C,11.5
06/06/20 3:01:00 AM,C,11.5
06/06/20 4:01:00 AM,C,11.5
06/06/20 5:01:00 AM,C,11.5
06/06/20 6:01:00 AM,C,11.5
06/06/20 7:01:00 AM,C,11
06/06/20 8:01:00 AM,C,16
06/06/20 9:01:00 AM,C,18.5
06/06/20 10:01:00 AM,C,23
06/06/20 11:01:00 AM,C,20.5
06/06/20 12:01:00 PM,C,26
06/06/20 1:01:00 PM,C,30
06/06/20 2:01:00 PM,C,31.5
06/06/20 3:01:00 PM,C,23
06/06/20 4:01:00 PM,C,26.5
06/06/20 5:01:00 PM,C,12.5
06/06/20 6:01:00 PM,C,12.5
06/06/20 7:01:00 PM,C,12
06/06/20 8:01:00 PM,C,11.5
06/06/20 9:01:00 PM,C,11.5
06/06/20 10:01:00 PM,C,11
06/06/20 11:01:00 PM,C,10.5
07/06/20 12:01:00 AM,C,11
07/06/20 1:01:00 AM,C,11
07/06/20 2:01:00 AM,C,11.5
07/06/20 3:01:00 AM,C,11
07/06/20 4:01:00 AM,C,11
07/06/20 5:01:00 AM,C,11
07/06/20 6:01:00 AM,C,11
07/06/20 7:01:00 AM,C,11
07/06/20 8:01:00 AM,C,14.5
07/06/20 9:01:00 AM,C,17
07/06/20 10:01:00 AM,C,23
07/06/20 11:01:00 AM,C,26
07/06/20 12:01:00 PM,C,28.5
07/06/20 1:01:00 PM,C,31.5
07/06/20 2:01:00 PM,C,31.5
07/06/20 3:01:00 PM,C,30
07/06/20 4:01:00 PM,C,28.5
07/06/20 5:01:00 PM,C,26.5
07/06/20 6:01:00 PM,C,12.5
07/06/20 7:01:00 PM,C,12
07/06/20 8:01:00 PM,C,12
07/06/20 9:01:00 PM,C,11.5
07/06/20 10:01:00 PM,C,11.5
07/06/20 11:01:00 PM,C,11
08/06/20 12:01:00 AM,C,11
08/06/20 1:01:00 AM,C,11
08/06/20 2:01:00 AM,C,11.5
08/06/20 3:01:00 AM,C,11
08/06/20 4:01:00 AM,C,11
08/06/20 5:01:00 AM,C,11
08/06/20 6:01:00 AM,C,11
08/06/20 7:01:00 AM,C,11
08/06/20 8:01:00 AM,C,11.5
08/06/20 9:01:00 AM,C,15
08/06/20 10:01:00 AM,C,23
08/06/20 11:01:00 AM,C,26.5
08/06/20 12:01:00 PM,C,26.5
08/06/20 1:01:00 PM,C,28
08/06/20 2:01:00 PM,C,26.5
08/06/20 3:01:00 PM,C,24.5
08/06/20 4:01:00 PM,C,25
08/06/20 5:01:00 PM,C,22.5
08/06/20 6:01:00 PM,C,18.5
08/06/20 7:01:00 PM,C,12
08/06/20 8:01:00 PM,C,12
08/06/20 9:01:00 PM,C,11.5
08/06/20 10:01:00 PM,C,11
08/06/20 11:01:00 PM,C,11
09/06/20 12:01:00 AM,C,11
09/06/20 1:01:00 AM,C,11
09/06/20 2:01:00 AM,C,11.5
09/06/20 3:01:00 AM,C,11.5
09/06/20 4:01:00 AM,C,11.5
09/06/20 5:01:00 AM,C,11.5
09/06/20 6:01:00 AM,C,11.5
09/06/20 7:01:00 AM,C,11.5
09/06/20 8:01:00 AM,C,11.5
09/06/20 9:01:00 AM,C,11.5
09/06/20 10:01:00 AM,C,12
09/06/20 11:01:00 AM,C,13
09/06/20 12:01:00 PM,C,14
09/06/20 1:01:00 PM,C,14.5
09/06/20 2:01:00 PM,C,16.5
09/06/20 3:01:00 PM,C,17
09/06/20 4:01:00 PM,C,16
09/06/20 5:01:00 PM,C,16.5
09/06/20 6:01:00 PM,C,16
09/06/20 7:01:00 PM,C,12
09/06/20 8:01:00 PM,C,11.5
09/06/20 9:01:00 PM,C,11.5
09/06/20 10:01:00 PM,C,11
09/06/20 11:01:00 PM,C,11
10/06/20 12:01:00 AM,C,11
10/06/20 1:01:00 AM,C,11
10/06/20 2:01:00 AM,C,11
10/06/20 3:01:00 AM,C,11
10/06/20 4:01:00 AM,C,11
10/06/20 5:01:00 AM,C,11
10/06/20 6:01:00 AM,C,11
10/06/20 7:01:00 AM,C,11
10/06/20 8:01:00 AM,C,11
10/06/20 9:01:00 AM,C,11.5
10/06/20 10:01:00 AM,C,13
10/06/20 11:01:00 AM,C,19.5
10/06/20 12:01:00 PM,C,27.5
10/06/20 1:01:00 PM,C,28.5
10/06/20 2:01:00 PM,C,29
10/06/20 3:01:00 PM,C,26
10/06/20 4:01:00 PM,C,27.5
10/06/20 5:01:00 PM,C,26.5
10/06/20 6:01:00 PM,C,25
10/06/20 7:01:00 PM,C,20
10/06/20 8:01:00 PM,C,12
10/06/20 9:01:00 PM,C,12.5
10/06/20 10:01:00 PM,C,11.5
10/06/20 11:01:00 PM,C,11.5
11/06/20 12:01:00 AM,C,11.5
11/06/20 1:01:00 AM,C,11
