1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D00000005112D221
Is Mission Active?  true
Mission Start:  Fri Jun 05 09:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1800
Total Samples:  11834
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
05/06/20 9:01:00 AM,C,17
05/06/20 10:01:00 AM,C,19
05/06/20 11:01:00 AM,C,23
05/06/20 12:01:00 PM,C,25
05/06/20 1:01:00 PM,C,33
05/06/20 2:01:00 PM,C,30.5
05/06/20 3:01:00 PM,C,32
05/06/20 4:01:00 PM,C,15.5
05/06/20 5:01:00 PM,C,12
05/06/20 6:01:00 PM,C,11.5
05/06/20 7:01:00 PM,C,11.5
05/06/20 8:01:00 PM,C,11
05/06/20 9:01:00 PM,C,11.5
05/06/20 10:01:00 PM,C,11
05/06/20 11:01:00 PM,C,11
06/06/20 12:01:00 AM,C,11
06/06/20 1:01:00 AM,C,11.5
06/06/20 2:01:00 AM,C,11.5
06/06/20 3:01:00 AM,C,11.5
06/06/20 4:01:00 AM,C,11.5
06/06/20 5:01:00 AM,C,11.5
06/06/20 6:01:00 AM,C,11.5
06/06/20 7:01:00 AM,C,11.5
06/06/20 8:01:00 AM,C,18
06/06/20 9:01:00 AM,C,22
06/06/20 10:01:00 AM,C,27
06/06/20 11:01:00 AM,C,22.5
06/06/20 12:01:00 PM,C,30
06/06/20 1:01:00 PM,C,34.5
06/06/20 2:01:00 PM,C,35.5
06/06/20 3:01:00 PM,C,24.5
06/06/20 4:01:00 PM,C,28
06/06/20 5:01:00 PM,C,12.5
06/06/20 6:01:00 PM,C,12
06/06/20 7:01:00 PM,C,11.5
06/06/20 8:01:00 PM,C,11
06/06/20 9:01:00 PM,C,11.5
06/06/20 10:01:00 PM,C,11
06/06/20 11:01:00 PM,C,10.5
07/06/20 12:01:00 AM,C,11
07/06/20 1:01:00 AM,C,11
07/06/20 2:01:00 AM,C,11.5
07/06/20 3:01:00 AM,C,11
07/06/20 4:01:00 AM,C,11
07/06/20 5:01:00 AM,C,11
07/06/20 6:01:00 AM,C,11
07/06/20 7:01:00 AM,C,11
07/06/20 8:01:00 AM,C,16
07/06/20 9:01:00 AM,C,21
07/06/20 10:01:00 AM,C,26.5
07/06/20 11:01:00 AM,C,31
07/06/20 12:01:00 PM,C,34
07/06/20 1:01:00 PM,C,37.5
07/06/20 2:01:00 PM,C,36
07/06/20 3:01:00 PM,C,33.5
07/06/20 4:01:00 PM,C,31
07/06/20 5:01:00 PM,C,25.5
07/06/20 6:01:00 PM,C,12
07/06/20 7:01:00 PM,C,12
07/06/20 8:01:00 PM,C,11
07/06/20 9:01:00 PM,C,11
07/06/20 10:01:00 PM,C,11
07/06/20 11:01:00 PM,C,11
08/06/20 12:01:00 AM,C,11
08/06/20 1:01:00 AM,C,11
08/06/20 2:01:00 AM,C,11
08/06/20 3:01:00 AM,C,11
08/06/20 4:01:00 AM,C,11
08/06/20 5:01:00 AM,C,11
08/06/20 6:01:00 AM,C,11
08/06/20 7:01:00 AM,C,11
08/06/20 8:01:00 AM,C,11.5
08/06/20 9:01:00 AM,C,17
08/06/20 10:01:00 AM,C,27.5
08/06/20 11:01:00 AM,C,31.5
08/06/20 12:01:00 PM,C,30
08/06/20 1:01:00 PM,C,31.5
08/06/20 2:01:00 PM,C,29
08/06/20 3:01:00 PM,C,26
08/06/20 4:01:00 PM,C,26.5
08/06/20 5:01:00 PM,C,23.5
08/06/20 6:01:00 PM,C,18
08/06/20 7:01:00 PM,C,12
08/06/20 8:01:00 PM,C,11.5
08/06/20 9:01:00 PM,C,11.5
08/06/20 10:01:00 PM,C,11
08/06/20 11:01:00 PM,C,11
09/06/20 12:01:00 AM,C,11
09/06/20 1:01:00 AM,C,11
09/06/20 2:01:00 AM,C,11.5
09/06/20 3:01:00 AM,C,11.5
09/06/20 4:01:00 AM,C,11.5
09/06/20 5:01:00 AM,C,11.5
09/06/20 6:01:00 AM,C,11.5
09/06/20 7:01:00 AM,C,11.5
09/06/20 8:01:00 AM,C,11.5
09/06/20 9:01:00 AM,C,11.5
09/06/20 10:01:00 AM,C,12.5
09/06/20 11:01:00 AM,C,13.5
09/06/20 12:01:00 PM,C,14.5
09/06/20 1:01:00 PM,C,15
09/06/20 2:01:00 PM,C,17.5
09/06/20 3:01:00 PM,C,17.5
09/06/20 4:01:00 PM,C,16.5
09/06/20 5:01:00 PM,C,16.5
09/06/20 6:01:00 PM,C,16.5
09/06/20 7:01:00 PM,C,12
09/06/20 8:01:00 PM,C,11
09/06/20 9:01:00 PM,C,11.5
09/06/20 10:01:00 PM,C,11
09/06/20 11:01:00 PM,C,11
10/06/20 12:01:00 AM,C,11
10/06/20 1:01:00 AM,C,11
10/06/20 2:01:00 AM,C,11
10/06/20 3:01:00 AM,C,11
10/06/20 4:01:00 AM,C,11
10/06/20 5:01:00 AM,C,11
10/06/20 6:01:00 AM,C,11
10/06/20 7:01:00 AM,C,11
10/06/20 8:01:00 AM,C,11
10/06/20 9:01:00 AM,C,11.5
10/06/20 10:01:00 AM,C,13.5
10/06/20 11:01:00 AM,C,24
10/06/20 12:01:00 PM,C,34.5
10/06/20 1:01:00 PM,C,33.5
10/06/20 2:01:00 PM,C,34
10/06/20 3:01:00 PM,C,29
10/06/20 4:01:00 PM,C,31
10/06/20 5:01:00 PM,C,28.5
10/06/20 6:01:00 PM,C,26.5
10/06/20 7:01:00 PM,C,22
10/06/20 8:01:00 PM,C,12
10/06/20 9:01:00 PM,C,12
10/06/20 10:01:00 PM,C,11.5
10/06/20 11:01:00 PM,C,11.5
11/06/20 12:01:00 AM,C,11.5
11/06/20 1:01:00 AM,C,11
11/06/20 2:01:00 AM,C,11
11/06/20 3:01:00 AM,C,11
11/06/20 4:01:00 AM,C,11.5
11/06/20 5:01:00 AM,C,11.5
11/06/20 6:01:00 AM,C,11.5
11/06/20 7:01:00 AM,C,11.5
11/06/20 8:01:00 AM,C,11.5
11/06/20 9:01:00 AM,C,11.5
11/06/20 10:01:00 AM,C,12
11/06/20 11:01:00 AM,C,20.5
11/06/20 12:01:00 PM,C,21
11/06/20 1:01:00 PM,C,31
11/06/20 2:01:00 PM,C,32.5
11/06/20 3:01:00 PM,C,32
11/06/20 4:01:00 PM,C,27
11/06/20 5:01:00 PM,C,25.5
11/06/20 6:01:00 PM,C,22.5
11/06/20 7:01:00 PM,C,18
11/06/20 8:01:00 PM,C,12.5
11/06/20 9:01:00 PM,C,12
11/06/20 10:01:00 PM,C,12
11/06/20 11:01:00 PM,C,11.5
12/06/20 12:01:00 AM,C,11.5
12/06/20 1:01:00 AM,C,11.5
12/06/20 2:01:00 AM,C,11.5
12/06/20 3:01:00 AM,C,11.5
12/06/20 4:01:00 AM,C,11.5
12/06/20 5:01:00 AM,C,11.5
12/06/20 6:01:00 AM,C,12
12/06/20 7:01:00 AM,C,12.5
12/06/20 8:01:00 AM,C,12
12/06/20 9:01:00 AM,C,13
12/06/20 10:01:00 AM,C,12.5
12/06/20 11:01:00 AM,C,14
12/06/20 12:01:00 PM,C,14
12/06/20 1:01:00 PM,C,18
12/06/20 2:01:00 PM,C,27
12/06/20 3:01:00 PM,C,28
12/06/20 4:01:00 PM,C,24.5
12/06/20 5:01:00 PM,C,22
12/06/20 6:01:00 PM,C,17.5
12/06/20 7:01:00 PM,C,16
12/06/20 8:01:00 PM,C,15
12/06/20 9:01:00 PM,C,12
12/06/20 10:01:00 PM,C,11.5
