1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EF0000005108EC21
Is Mission Active?  true
Mission Start:  Fri Apr 12 14:00:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1298
Total Samples:  1298
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/04/19 2:00:00 PM,C,16.5
12/04/19 3:00:00 PM,C,18
12/04/19 4:00:00 PM,C,16.5
12/04/19 5:00:00 PM,C,14
12/04/19 6:00:00 PM,C,11
12/04/19 7:00:00 PM,C,10
12/04/19 8:00:00 PM,C,10
12/04/19 9:00:00 PM,C,9
12/04/19 10:00:00 PM,C,9.5
12/04/19 11:00:00 PM,C,9.5
13/04/19 12:00:00 AM,C,9
13/04/19 1:00:00 AM,C,9
13/04/19 2:00:00 AM,C,9
13/04/19 3:00:00 AM,C,9
13/04/19 4:00:00 AM,C,9
13/04/19 5:00:00 AM,C,9
13/04/19 6:00:00 AM,C,9
13/04/19 7:00:00 AM,C,9
13/04/19 8:00:00 AM,C,9
13/04/19 9:00:00 AM,C,9
13/04/19 10:00:00 AM,C,9
13/04/19 11:00:00 AM,C,9
13/04/19 12:00:00 PM,C,9
13/04/19 1:00:00 PM,C,9
13/04/19 2:00:00 PM,C,9.5
13/04/19 3:00:00 PM,C,9
13/04/19 4:00:00 PM,C,11
13/04/19 5:00:00 PM,C,12
13/04/19 6:00:00 PM,C,9.5
13/04/19 7:00:00 PM,C,9
13/04/19 8:00:00 PM,C,8.5
13/04/19 9:00:00 PM,C,8
13/04/19 10:00:00 PM,C,6.5
13/04/19 11:00:00 PM,C,9
14/04/19 12:00:00 AM,C,9
14/04/19 1:00:00 AM,C,9
14/04/19 2:00:00 AM,C,9
14/04/19 3:00:00 AM,C,9
14/04/19 4:00:00 AM,C,9
14/04/19 5:00:00 AM,C,9
14/04/19 6:00:00 AM,C,9
14/04/19 7:00:00 AM,C,9
14/04/19 8:00:00 AM,C,9
14/04/19 9:00:00 AM,C,9
14/04/19 10:00:00 AM,C,9
14/04/19 11:00:00 AM,C,9.5
14/04/19 12:00:00 PM,C,9.5
14/04/19 1:00:00 PM,C,9.5
14/04/19 2:00:00 PM,C,9.5
14/04/19 3:00:00 PM,C,9.5
14/04/19 4:00:00 PM,C,9
14/04/19 5:00:00 PM,C,10.5
14/04/19 6:00:00 PM,C,10.5
14/04/19 7:00:00 PM,C,9
14/04/19 8:00:00 PM,C,7.5
14/04/19 9:00:00 PM,C,7.5
14/04/19 10:00:00 PM,C,7
14/04/19 11:00:00 PM,C,7
15/04/19 12:00:00 AM,C,9
15/04/19 1:00:00 AM,C,9
15/04/19 2:00:00 AM,C,9
15/04/19 3:00:00 AM,C,9
15/04/19 4:00:00 AM,C,9
15/04/19 5:00:00 AM,C,9
15/04/19 6:00:00 AM,C,9
15/04/19 7:00:00 AM,C,9
15/04/19 8:00:00 AM,C,9
15/04/19 9:00:00 AM,C,9
15/04/19 10:00:00 AM,C,9.5
15/04/19 11:00:00 AM,C,9.5
15/04/19 12:00:00 PM,C,9.5
15/04/19 1:00:00 PM,C,10
15/04/19 2:00:00 PM,C,10
15/04/19 3:00:00 PM,C,10
15/04/19 4:00:00 PM,C,10
15/04/19 5:00:00 PM,C,10
15/04/19 6:00:00 PM,C,11
15/04/19 7:00:00 PM,C,9.5
15/04/19 8:00:00 PM,C,7.5
15/04/19 9:00:00 PM,C,7
15/04/19 10:00:00 PM,C,6.5
15/04/19 11:00:00 PM,C,5
16/04/19 12:00:00 AM,C,4
16/04/19 1:00:00 AM,C,9
16/04/19 2:00:00 AM,C,9
16/04/19 3:00:00 AM,C,9
16/04/19 4:00:00 AM,C,9
16/04/19 5:00:00 AM,C,9
